sym,t,dirn,rv,vratio,ats,pierce,tier,m1,m2,m4,m8,m16,m32,day
BIO,1786257000000,1,0.0036848506743785247,5.89544478260509,1.43117021357097,0.00228832951945084,MID,-65.05686822589843,-1.9269956265451254,-200.44382392089696,-258.2494903974132,-335.45047917855095,-322.1399638714583,08-09
kLUNC,1786257000000,1,0.002744685747135104,8.387578816926048,2.625484760167129,0.009052648296672716,MID,-62.90440164031496,-7.307224872836454,-87.94284649658938,-126.38770277197298,-177.64751113915156,-66.25600449509123,08-09
PUMP,1786257900000,1,0.005127720734156579,6.85902844633691,2.201633559187585,0.006324110671936741,HIGH,-115.74964636542165,-162.90092337917525,-198.26438113948916,-143.2545579567775,72.85546168958763,642.600058939097,08-09
PYTH,1786259700000,1,0.004361134414082572,24.37217212939618,4.114636094642923,0.003511418000141477,MID,-106.46260073260046,-95.42662815816671,-183.2447928994082,-151.31091481168463,-147.31918005071836,-144.2666769982155,08-09
PAXG,1786260600000,1,0.00027684606770733694,8.16748080949058,4.23995218483406,0.0007127256006438358,MID,-5.040772623888204,-17.217122935189654,-11.933046385001994,-19.744289980930123,-13.08175867852096,2.5407285133373865,08-09
WLFI,1786260600000,1,0.0019531402890024144,89.02348307109494,22.925488685986455,0.0021215861749729783,HIGH,-16.11741199553697,-59.013576347478065,-33.622124802831394,-44.394255761166434,-114.60546647174183,136.4236567537421,08-09
GRAM,1786261500000,-1,0.0014667395146953633,28.846955128205128,4.167597876899389,0.0011904761904762244,HIGH,-14.670545373266785,9.170908955446293,10.660999850990759,-14.670545373266785,0.23036358217951047,-15.415590821039016,08-09
LTC,1786263300000,1,0.0009852987288837384,6.914492943592432,1.0061800974899537,0.0016673162704083447,HIGH,-15.670143051623782,-10.916161592151806,-17.83104371502139,-45.7066622728358,-27.339006633965344,16.09509670030449,08-09
CC,1786263300000,1,0.0077779927223106185,8.773250211018137,1.7072896104846413,0.011457606854637823,MID,-322.5870303269002,-345.8245254037022,-378.4160968885385,-514.9856124458445,-222.44918077983405,-255.3361441512402,08-09
ENA,1786264200000,-1,0.002253145147939561,22.867117734791478,3.078142947161805,0.003911595657330491,HIGH,-39.846798516263476,-0.3491626501206122,-92.28134120233172,-94.2276015203739,10.298026148578355,18.76998282711392,08-09
PEOPLE,1786264200000,1,0.005074923539475498,6.948888430631685,3.4325749175446716,0.003294892915980228,MID,-0.6833181932894323,-29.70173858188231,-56.196818067121,112.86702245773226,401.7895558919992,964.4945773403971,08-09
ZEC,1786266000000,1,0.0026560348031061656,5.943718260382593,1.2398930033085591,0.0068139462649479555,HIGH,-5.5371434081618665,47.498419347373115,115.38393967445755,96.86970685798137,150.48383938903078,-64.74411710252151,08-09
ZEN,1786266000000,1,0.0030651496031154322,57.53179238298923,8.066582887266433,0.012239669813558646,MID,48.63565590289194,37.387589164361785,27.545530768148677,-37.59952242583371,-25.648451516147112,14.657120963582656,08-09
AERO,1786266000000,-1,0.001700803754153529,11.057248157248157,1.9311163318791056,0.0074861820471559285,MID,61.699457510043544,97.88111763738516,37.030143786856854,38.204873011770374,9.54147992387717,43.843573291356364,08-09
AVNT,1786266000000,1,0.004605284585527283,8.016384148761267,3.3285533243140173,0.0016988631506967087,MID,-186.993402716283,-168.96308190459823,-165.4423683733235,-219.7467073860296,-26.854281187652948,186.308919887765,08-09
BOME,1786266900000,1,0.004915352750700294,10.646350072726593,3.046826145135944,0.00611620795107032,MID,176.08818181818134,191.23969696969684,221.5427272727279,630.6336363636369,842.7548484848477,1494.2700000000002,08-09
AERO,1786266900000,-1,0.0018205660733714621,14.68263061411549,3.5620286699050343,0.006579565748660516,MID,26.92499290108832,-27.973256034076005,-15.668476100332027,-24.423800283956766,-48.5600993847618,-26.55347373402857,08-09
AERO,1786268700000,-1,0.00184536519793134,8.220167518764278,3.018484060701482,0.0006880026571137398,MID,-70.3242672587808,-51.56343228288459,-63.19989954641473,-53.700742596593756,-97.39686456576918,-19.74125650098505,08-09
ZEC,1786269600000,1,0.0029309981682865065,8.761966948428151,1.0603217524834312,0.008450704225352051,HIGH,-10.28901069467727,-30.804558820734695,-54.92932374674541,-88.93194517789632,-58.72849932564566,-204.04696521854643,08-09
BOME,1786269600000,1,0.005162300081990612,5.528515048109865,1.555532827788908,0.0014880952380952744,MID,38.91285714285823,98.43666666666759,143.0795238095242,634.1509523809534,857.365238095238,1452.6033333333335,08-09
SYRUP,1786269600000,-1,0.0015524996803489002,5.534162444342085,3.285768256109375,0.0010753410847502754,MID,-0.3467821815492407,-5.73,-19.188044546127834,-60.90798263912356,-253.35801964874614,-391.9758784738575,08-09
CRV,1786270500000,1,0.003577025626974798,13.684581836562327,1.3948191226795315,0.012795404099751918,HIGH,-28.074448264009128,32.51338260570651,113.72685802681235,207.40166036438603,227.16790305946978,263.6924819525609,08-09
VIRTUAL,1786270500000,-1,0.001589627696318679,6.443448534622921,3.785472303489134,0.00014212115828738495,HIGH,-11.593747823306664,-13.015262447137808,-13.548330431076211,23.055671132590977,-2.7092814243595638,43.66763317814943,08-09
PEOPLE,1786271400000,1,0.00505759200484835,8.404740227233471,2.3916024295547564,0.005511712388826118,MID,-31.911274155342454,-63.079457673607905,29.178365540456607,278.5238336865715,274.7836516643804,1734.7013676598922,08-09
VVV,1786271400000,1,0.0036602901052039264,21.850999126128748,3.4993058147331526,0.010111667985579902,HIGH,98.72682451253569,103.0791922005571,63.037409470752635,150.08476323119802,16.03183844011173,264.987270194986,08-09
ALGO,1786271400000,-1,0.0016743197690904591,23.365037282518642,5.81495906707116,0.00020928529073219765,MID,-9.452964876153741,-8.871251614254215,-8.173195699974782,-9.918335485671747,5.206209323699795,8.929174199853538,08-09
VVV,1786272300000,1,0.0036926674701404814,62.5001834105186,3.375314974343236,0.003999304468787982,HIGH,41.85608755840086,14.169636615331104,-42.06846686277888,101.55499740439569,8.11322547153488,168.17551998615724,08-09
CRV,1786273200000,1,0.0036105385653759426,5.956204642348234,1.2585300386272997,0.0005567928730513063,HIGH,74.74256228062636,164.6321265302633,200.1599066860718,111.55447906857256,434.72886482321695,218.5658650800443,08-09
BOME,1786275000000,1,0.005718564060246361,17.06005727237243,2.7802277348738937,0.026315789473684216,MID,165.4540228245359,193.98469329529266,251.04603423680462,322.3727104136949,764.5981027104139,1506.395534950071,08-09
HYPE,1786275000000,-1,0.0018582771031981152,6.234274011619378,2.6667177803229323,0.0013624229034336385,HIGH,-12.735899705014141,-6.09873156342097,15.287699115045044,-47.02793510324422,-111.74032448377503,-82.61053097345031,08-09
ATOM,1786275000000,-1,0.0016926981339732618,5.805380755856625,3.121545614793365,0.0008745080891998905,MID,-16.667727869331028,-23.959546448883966,-23.23036459092867,-23.959546448883966,-104.89873268193129,-78.64818579553747,08-09
CRV,1786275000000,1,0.0036031318839487253,7.715400738611041,1.143973170319559,0.003066700741119339,HIGH,91.85581187152602,110.52440196868736,92.2800980100971,36.69861385718532,255.20597522168904,95.25010098010068,08-09
CRV,1786275900000,1,0.003702643206360703,7.583234157246728,1.2180582843796903,0.0055014811680067525,HIGH,25.82503197576576,-5.73,-29.71182430158259,54.43492763379278,154.14882867721298,12.361551666105097,08-09
PENDLE,1786276800000,-1,0.002532034244411473,11.557419354838709,3.3638034572288,0.002263765152621499,MID,-32.08046113306855,-43.05981993851472,-119.91533157663473,-153.58536524666954,-144.06992094861596,-125.03903235251047,08-09
PEOPLE,1786276800000,1,0.0051452835645425235,8.782460292238307,2.3392157472643436,0.0012345679012345176,MID,151.98315919171964,158.14382947264593,149.51889107934866,26.305485460818115,692.8900098570722,1408.7598965007387,08-09
BOME,1786276800000,1,0.006035664492195359,7.16715131253419,1.648946500726376,0.009915014164305883,MID,22.359887640450122,92.5846067415739,261.12393258427005,247.07898876404502,738.65202247191,1553.2587640449437,08-09
VIRTUAL,1786276800000,-1,0.0015825198690102966,5.409785473950407,2.7412702439323566,0.0012804552729860463,HIGH,0.8591403843068299,2.1057345110679027,-27.63443965594117,-20.689129521130894,-10.360206756540844,10.297638772639253,08-09
PEOPLE,1786278600000,1,0.005233498091633668,16.13305914435156,2.6961488157762505,0.008440366972477017,MID,-29.972424242425358,-15.426969696970984,-54.2148484848486,-10.578484848485491,533.6639393939384,1362.7548484848483,08-09
PUMP,1786278600000,1,0.005927297493898844,6.088538251971157,1.7605319809280862,0.009316770186335293,HIGH,293.9242451018054,378.44210910488005,370.7586669227814,366.91694583173376,274.71563964656224,347.70834037648893,08-09
BOME,1786280400000,1,0.005814840337648753,8.698876472236947,1.850346943679515,0.004166666666666617,MID,-116.22723756906196,-5.73,77.14292817679458,339.5738674033143,450.0711049723747,1858.9108839778994,08-09
PUMP,1786280400000,1,0.006586135699214478,9.57523185723067,2.2056753636535946,0.018617021276595747,HIGH,-5.73,72.62820895522295,83.82223880596908,65.1655223880594,-72.89417910447844,-28.11805970149227,08-09
XPL,1786281300000,1,0.0022898959007436976,6.973499150462526,2.1922930606674638,0.0013548561916928977,HIGH,27.377463994021763,30.211565970164823,0.19584958647932016,85.73420013912893,51.59615360832723,87.28007394429706,08-09
BOME,1786281300000,1,0.005863636952416737,12.02403632382089,2.688137206332891,0.00827586206896557,MID,-115.01961748633849,-46.713606557376565,-60.37480874316924,212.84923497267698,363.12245901639346,1701.9202732240437,08-09
WLD,1786281300000,1,0.0030125443469473253,9.360874018436327,2.418853925223353,0.003112865440775413,HIGH,9.29605582019791,70.9987956776116,119.91340292208795,286.1591268902449,303.103402602385,303.4231059177087,08-09
PUMP,1786281300000,1,0.0066199458399594825,6.45201125484951,1.7679751937186814,0.005580357142857238,HIGH,-13.129186089531133,83.06023307436077,97.85860525342142,-124.1169774324821,-124.1169774324821,-138.91534961154275,08-09
ETHFI,1786282200000,1,0.0023709260788027636,5.586746729573235,3.91606311487922,0.0004077783724545543,HIGH,41.7553203982647,24.13979831503713,51.711919836610406,34.606992596375434,-85.89339034975687,-42.49282869543009,08-09
BTC,1786282200000,1,0.0005446859291689008,5.842896455699453,1.510380227064293,0.00038362386447336115,HIGH,-3.73592088107619,-11.098674550948722,0.09884665531575454,-4.656265089810256,-10.63850244658169,-8.644423327657877,08-09
XMR,1786283100000,1,0.00288732682246968,11.26069833341338,1.9106651246933346,0.008857120658845507,HIGH,392.10373116706444,548.9272213238883,500.1605058905053,263.7702695002695,102.58344164677422,106.43344549677894,08-09
PUMP,1786284000000,1,0.006714821217052892,8.707983667191906,2.005681448932576,0.007016248153618877,HIGH,12.611892883344812,-101.10784299339684,-104.77622157006644,-277.19001467351535,-174.47541452677928,-31.408650036684012,08-09
XMR,1786284000000,1,0.0036062479874289207,14.146651389050888,1.2347846391504753,0.020689124750038437,HIGH,317.8710343182799,343.7289912886305,217.70283207390943,36.446085155524486,-131.756159214721,-124.47576356287404,08-09
LTC,1786284000000,1,0.001147794256910873,6.888479190365983,2.050372325567872,0.0020077720207253113,HIGH,-31.371578142170648,-8.531180805446816,-15.641870542351565,-11.763312504039883,-46.454859402271126,-87.61066969768697,08-09
XMR,1786284900000,1,0.003998049221568773,52.9413847283306,2.1769229222521247,0.01358586869495598,HIGH,168.00707460329264,95.69888872436549,-10.665712346684156,-124.18709632042533,-336.66951284519064,-276.7006078329746,08-09
WLD,1786285800000,1,0.003036758105373094,5.589575651338432,2.8322473221534086,0.0011379441143002497,HIGH,191.91468158999743,232.32765162756894,195.07194487418235,116.45608909796938,106.03712026015809,-35.72400119976025,08-09
XMR,1786285800000,1,0.0042568018380539675,25.616284480329256,1.737132094048286,0.014506340356244271,HIGH,-49.51283712784617,-100.34957579295549,-251.64360186806806,-275.7241622883835,-421.9101906985798,-406.0997217357458,08-09
WLD,1786286700000,1,0.0032750068069328656,10.223122720613448,2.501596405221438,0.01210936268171931,HIGH,95.19514718250694,21.99326573840457,44.73257359125347,40.68310780923875,5.795402610349095,-153.37975235959152,08-09
XMR,1786286700000,1,0.004259996022351539,19.257862156987876,1.598294796165421,0.00248036378668867,HIGH,-128.69871210283756,-182.54300024254235,-301.38850109143823,-372.69580160077606,-445.45835314091676,-433.5738030560268,08-09
BOME,1786286700000,1,0.0064710345718046024,12.061893882073308,2.6803428187014897,0.008185538881309589,MID,129.58799729364043,116.05619756427608,170.183396481732,156.6515967523691,454.3511907983771,1631.6177672530448,08-09
MON,1786287600000,1,0.00249143348551795,6.0676341985300954,1.6048570617227997,0.003248128795367868,HIGH,-44.22584526548154,-43.756383737853255,-53.61507581803737,-66.29053706398791,-95.39715177691197,-141.40438148443783,08-09
FARTCOIN,1786287600000,1,0.0027836581353418645,7.388208929269526,1.5601142515209667,0.006154769946708814,HIGH,62.16018203521293,128.55827215756463,22.61974634437625,194.9563622799163,120.35176663682462,-233.27401671142923,08-09
WLD,1786287600000,1,0.0033274489091237812,34.97346972827971,4.533308628680692,0.0039787386155233076,HIGH,-39.78361897096124,-3.562951520029271,-11.302410377065135,-27.09090644542036,-31.11542505108004,-301.0677499845209,08-09
