horizon,feature,tier,ic,t_clustered,t_nw,n_timestamps,eff_n,day_consistency,r2_pct
15,ofi,MID,0.02554776644318487,0.6725423804968264,0.5578041137787764,131,8.733333333333333,0.42105263157894735,0.0652688370235523
15,ofi5,ALL,0.013301563096990461,6.275958953985658,3.66575035536796,28267,1884.4666666666667,0.7142857142857143,0.017693158082321848
15,ofi5,HIGH,0.013085775845523001,5.932113834638122,3.3920075021824925,27962,1864.1333333333334,0.7142857142857143,0.017123752947927322
15,ofi5,MID,0.018974117323036718,0.46932481856444885,0.578033052161928,131,8.733333333333333,0.5789473684210527,0.036001712818836205
15,ofi_big,ALL,0.013996992730770975,1.6123013249279092,1.4450952797253385,3246,216.4,0.6666666666666666,0.01959158055052555
15,ofi_big,HIGH,0.01424776023214196,1.6205376883134766,1.4507541016644436,3179,211.93333333333334,0.6666666666666666,0.020299867163260592
15,eff_sz,ALL,0.010074130109796766,4.732551251591062,2.7915043988209844,28268,1884.5333333333333,0.7619047619047619,0.01014880974691138
15,eff_sz,HIGH,0.007971305504859812,3.5785361051489883,2.027783721907012,27964,1864.2666666666667,0.6666666666666666,0.006354171145180833
15,eff_sz,MID,-0.05477794068708927,-1.3522995996478409,-1.3870507896073647,131,8.733333333333333,0.6842105263157895,0.30006227859182705
15,herf,ALL,-0.0035848362497781353,-1.6576950128542955,-0.9552173082026927,28268,1884.5333333333333,0.5238095238095238,0.0012851050937723366
15,herf,HIGH,-0.0042284446908102385,-1.8832795406124345,-1.0713499193739249,27964,1864.2666666666667,0.5714285714285714,0.0017879744503241292
15,herf,MID,-0.014257427720948538,-0.3448392462834261,-0.4772110724304074,131,8.733333333333333,0.5789473684210527,0.02032742452180718
15,ret1,ALL,0.003919268203853272,1.6700159420921807,1.5370012626083311,28268,1884.5333333333333,0.6190476190476191,0.0015360663253735254
15,ret1,HIGH,0.00039475395023130165,0.16203081650593623,0.1513015283278499,27964,1864.2666666666667,0.5714285714285714,1.5583068122321697e-05
15,ret1,MID,0.03809636830939527,0.9834058640499311,1.0711019714565513,130,8.666666666666666,0.47368421052631576,0.14513332783650965
15,clv,ALL,0.013362353841081033,6.045271923335292,5.786377363870493,27952,1863.4666666666667,0.9047619047619048,0.017855250017425304
15,clv,HIGH,0.011956799503567744,5.214540447156028,4.971555799088114,27614,1840.9333333333334,0.8095238095238095,0.014296505436851785
15,clv,MID,0.0213116058962793,0.37125417253366255,0.41967587956490804,53,3.533333333333333,0.5333333333333333,0.04541845458783267
15,intensity,ALL,-0.0015026646177266423,-0.6882212736977554,-0.4968040130538833,28249,1883.2666666666667,0.5714285714285714,0.00022580009533675562
15,intensity,HIGH,-0.002547536429132853,-1.1248565512325264,-0.8105297508370167,27945,1863.0,0.5714285714285714,0.0006489941857758968
15,intensity,MID,-0.009072825669375145,-0.21932752052736568,-0.28998039685824417,131,8.733333333333333,0.5263157894736842,0.008231616562687255
15,rv60,ALL,-0.014080179363732513,-5.762946354433343,-2.527714040180244,28249,1883.2666666666667,0.6666666666666666,0.01982514509148789
15,rv60,HIGH,-0.009213763771751931,-3.6036335268238875,-1.545290654432477,27945,1863.0,0.6666666666666666,0.008489344284164837
15,rv60,MID,0.0018849300156771704,0.045651600005952565,0.041646249379837255,131,8.733333333333333,0.47368421052631576,0.0003552961164000738
60,ofi,ALL,0.009177974817947658,4.3144550428075865,2.6868095699596166,28225,470.4166666666667,0.6666666666666666,0.008423522175888135
60,ofi,HIGH,0.006605231001589029,2.9758728664510374,1.7766082107705041,27921,465.35,0.5714285714285714,0.00436290765843528
60,ofi,MID,-0.010686655343720325,-0.2897185084689004,-0.279887807512298,131,2.183333333333333,0.631578947368421,0.011420460243546617
60,ofi5,ALL,0.008546068158101936,3.9920936800190954,1.564683333724175,28224,470.4,0.5714285714285714,0.007303528096292382
60,ofi5,HIGH,0.00750658669771101,3.3588776011460224,1.2758039528075822,27919,465.31666666666666,0.5714285714285714,0.005634884385025188
60,ofi5,MID,-0.00807907390046552,-0.2085601329504052,-0.4501720760242953,131,2.183333333333333,0.42105263157894735,0.006527143508918316
60,ofi_big,ALL,0.006439151919038546,0.7506550754284891,0.749803393052766,3246,54.1,0.47619047619047616,0.00414626774364578
60,ofi_big,HIGH,0.004722101588986056,0.5431316677083252,0.5400725998263631,3179,52.983333333333334,0.42857142857142855,0.0022298243416704637
60,eff_sz,ALL,0.020585419854469413,9.69680886044881,3.345027933837364,28225,470.4166666666667,0.8571428571428571,0.04237595105847835
60,eff_sz,HIGH,0.01881288476664631,8.451453161017909,2.7803882968361577,27921,465.35,0.8571428571428571,0.035392463324311285
60,eff_sz,MID,-0.03818726115518446,-0.9624154481450192,-0.6891492666612771,131,2.183333333333333,0.5263157894736842,0.145826691453426
60,herf,ALL,0.0015687282874231468,0.7200832489374581,0.24113908545341078,28225,470.4166666666667,0.6190476190476191,0.0002460908439761559
60,herf,HIGH,0.0010259582314298067,0.4541367509094471,0.1516761589936125,27921,465.35,0.5714285714285714,0.00010525902926385768
60,herf,MID,0.030309335731721093,0.7697093003173998,1.7933766143489231,131,2.183333333333333,0.6842105263157895,0.0918655832498185
60,ret1,ALL,-0.0034919199044318116,-1.4929987553181276,-1.4044658918479143,28225,470.4166666666667,0.6190476190476191,0.0012193504618967072
60,ret1,HIGH,-0.0039762235288486655,-1.6348299662431254,-1.5397286305771112,27921,465.35,0.6190476190476191,0.0015810353551369732
60,ret1,MID,-0.04085538411627694,-0.9453600582717148,-0.7606674797230701,130,2.1666666666666665,0.631578947368421,0.16691624112885342
60,clv,ALL,0.005702356793669222,2.577474905929023,2.385887015797892,27909,465.15,0.7619047619047619,0.0032516873002305527
60,clv,HIGH,0.005528852609627739,2.407938735397432,2.2005568195446306,27571,459.51666666666665,0.6666666666666666,0.003056821117898746
60,clv,MID,0.003582554318780878,0.05263988427929607,0.08875199723086945,53,0.8833333333333333,0.5333333333333333,0.001283469544701552
60,intensity,ALL,-0.0011400477969252005,-0.5221041197862024,-0.2973467700245085,28206,470.1,0.47619047619047616,0.00012997089792740033
60,intensity,HIGH,0.0008254032789883846,0.36511776518412203,0.2059007158909686,27902,465.03333333333336,0.47619047619047616,6.812905729647771e-05
60,intensity,MID,-0.046694996848700446,-1.1944888511220881,-4.272071395670534,131,2.183333333333333,0.6842105263157895,0.21804227307001445
60,rv60,ALL,-0.026654088167677097,-10.82196674242826,-2.6064597624016907,28206,470.1,0.7142857142857143,0.07104404160503043
60,rv60,HIGH,-0.019833328484548236,-7.706743124642209,-1.8076153937019017,27902,465.03333333333336,0.6666666666666666,0.03933609187759924
60,rv60,MID,0.02123049064586715,0.5276390708715626,0.5771289800638612,131,2.183333333333333,0.3684210526315789,0.04507337330642525
240,ofi,ALL,-0.001336217548301348,-0.633748562997665,-0.2941551446079851,28045,116.85416666666667,0.5238095238095238,0.00017854773363884651
240,ofi,HIGH,-0.004493391521140176,-2.0405559606221777,-0.9039349123628176,27741,115.5875,0.47619047619047616,0.002019056736225443
240,ofi,MID,-0.01189315719187586,-0.3041906126765656,-0.6706401687165758,130,0.5416666666666666,0.5789473684210527,0.01414471879906685
240,ofi5,ALL,-0.005337749347648201,-2.5270411822563177,-0.7142503475952133,28044,116.85,0.42857142857142855,0.0028491568098318798
240,ofi5,HIGH,-0.00974179292527756,-4.405930985711605,-1.2195031669396095,27739,115.57916666666667,0.47619047619047616,0.009490252939898792
240,ofi5,MID,0.01960750024452563,0.504253868137158,1.1793434215614214,130,0.5416666666666666,0.47368421052631576,0.03844540658390726
240,ofi_big,ALL,-0.002816358132013949,-0.3251218599880407,-0.37351005472556487,3240,13.5,0.5238095238095238,0.00079318731277611
240,ofi_big,HIGH,-0.0027454485739836637,-0.31356937256993395,-0.3582296225612784,3173,13.220833333333333,0.47619047619047616,0.0007537487872388933
240,eff_sz,ALL,0.03313173171150673,15.494143083494677,2.925894815532892,28045,116.85416666666667,0.8095238095238095,0.1097711646203261
240,eff_sz,HIGH,0.02780812388393294,12.488788149308908,2.314838122373744,27741,115.5875,0.7619047619047619,0.07732917539441617
240,eff_sz,MID,-0.018982879799720263,-0.4741299749959652,-0.5913811540895945,130,0.5416666666666666,0.42105263157894735,0.036034972549062766
240,herf,ALL,0.0035535829150524292,1.6470736030921056,0.31576120458149043,28045,116.85416666666667,0.5238095238095238,0.001262795153415252
240,herf,HIGH,0.0031417651436521986,1.3977299962074827,0.2619592670110019,27741,115.5875,0.5714285714285714,0.000987068821786792
240,herf,MID,0.023324137007985128,0.6042928782652158,2.7187277500960843,130,0.5416666666666666,0.47368421052631576,0.054401536716726144
240,ret1,ALL,-0.004048785383221355,-1.7259967455521263,-1.5677449778456936,28045,116.85416666666667,0.7619047619047619,0.0016392663079386894
240,ret1,HIGH,-0.004198468848342017,-1.726758773583324,-1.5729950263966896,27741,115.5875,0.7619047619047619,0.001762714067049834
