sym,t,dirn,day
ONDO,1785087000000,1,07-26
BLUR,1785087000000,1,07-26
NIL,1785087900000,1,07-26
BCH,1785089700000,1,07-26
XMR,1785090600000,-1,07-26
BCH,1785091500000,1,07-26
WLD,1785094200000,1,07-26
STX,1785095100000,1,07-26
PUMP,1785096900000,1,07-26
LIT,1785097800000,1,07-26
HBAR,1785099600000,-1,07-26
PAXG,1785099600000,1,07-26
WIF,1785100500000,-1,07-26
PUMP,1785100500000,1,07-26
NIL,1785101400000,1,07-26
CRV,1785101400000,1,07-26
PUMP,1785101400000,1,07-26
ENS,1785102300000,1,07-26
WIF,1785102300000,-1,07-26
PAXG,1785102300000,1,07-26
XRP,1785103200000,1,07-26
LINK,1785103200000,1,07-26
BTC,1785103200000,1,07-26
VIRTUAL,1785103200000,1,07-26
JUP,1785103200000,1,07-26
DASH,1785103200000,1,07-26
PAXG,1785103200000,1,07-26
BNB,1785103200000,1,07-26
XLM,1785103200000,1,07-26
PENDLE,1785103200000,1,07-26
ENA,1785103200000,1,07-26
AAVE,1785103200000,1,07-26
SOL,1785103200000,1,07-26
ZEC,1785103200000,1,07-26
ETH,1785103200000,1,07-26
PUMP,1785103200000,1,07-26
DASH,1785104100000,1,07-26
MET,1785104100000,1,07-26
LTC,1785104100000,1,07-26
SOL,1785104100000,1,07-26
ENA,1785104100000,1,07-26
AAVE,1785104100000,1,07-26
XLM,1785105000000,1,07-26
JUP,1785105000000,1,07-26
SAND,1785105000000,1,07-26
PEOPLE,1785105000000,1,07-26
TIA,1785105000000,1,07-26
PUMP,1785105000000,1,07-26
BTC,1785105000000,1,07-26
ETH,1785105000000,1,07-26
SPX,1785105000000,1,07-26
XPL,1785105000000,1,07-26
LINK,1785105000000,1,07-26
AAVE,1785105000000,1,07-26
PENDLE,1785105000000,1,07-26
NEAR,1785105000000,1,07-26
SOL,1785105000000,1,07-26
ZEC,1785105900000,1,07-26
LINK,1785105900000,1,07-26
NEAR,1785105900000,1,07-26
ETH,1785105900000,1,07-26
LIT,1785105900000,1,07-26
SPX,1785105900000,1,07-26
PUMP,1785105900000,1,07-26
LIT,1785106800000,1,07-26
WLD,1785106800000,1,07-26
ETH,1785106800000,1,07-26
RUNE,1785106800000,1,07-26
GRASS,1785106800000,1,07-26
SAND,1785106800000,1,07-26
OP,1785106800000,1,07-26
ENA,1785108600000,1,07-26
ZEC,1785108600000,1,07-26
NEAR,1785108600000,1,07-26
AAVE,1785109500000,1,07-26
POL,1785109500000,1,07-26
RUNE,1785109500000,1,07-26
PAXG,1785110400000,1,07-27
XMR,1785110400000,-1,07-27
